"nom.depth","target.depth","Cruise","Cast","decy","yyyymmdd","year","month","cruise","hhmm","latN","lonW","Pressure","Depth","Temp","Salt","O2","Beam","PAR","Fluor","Fluor_filt","Fluor_offset","sig_theta","AOU","bvfrq","bvfilt","vort","Sunrise","Sunset","Season","VertZone","MLD_dens125","MLD_bvfrq","MLD_densT2","MLD_densT3","MLD_densT1","MLD_dens2","MLD_densGR","MLD_te2","DCM","DCMde_top","DCMde_bot","DCMinML","par_est","par0","kpar","z_par_1pcnt","z_par_halfpcnt","z_par_tenthpcnt","bottle","cast","case","meanMLD"
"1","1","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","5","4.96519666885881","25.7095","36.407","206.55","0.438","NaN","NaN","NaN","0","24.1864191514795","-4.49583491558387","-3.83148823423064e-06","-6.80609387570102e-08","-3.00483392759109e-11","1027.46399999996","2134.96399999999","3","0","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"10","10","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","10","9.93027118651679","25.7133333333333","36.4083333333333","207.913333333333","0.438","NaN","NaN","NaN","0","24.1865790233236","-5.87369854118658","-1.20375176592249e-07","-2.95255121085766e-07","-9.44023477099741e-13","1027.46399999996","2134.96399999999","3","0","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"20","20","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","18","17.8741333037764","25.7146","36.4084","208.336","0.4386","NaN","NaN","NaN","0","24.186788691476","-6.30068248641878","2.12180106643838e-06","6.23071215386507e-06","1.66400919587292e-11","1027.46399999996","2134.96399999999","3","0","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"40","40","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","38","37.7324713412667","25.6886","36.4504","206.814","0.4392","NaN","NaN","NaN","0","24.2279941195783","-4.7461811515261","1.08958017711735e-05","2.32768889654001e-05","8.54491820249165e-11","1027.46399999996","2134.96399999999","3","0","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"60","60","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","58","57.5888826204125","25.6846","36.4882","205.086","0.4382","NaN","NaN","NaN","0","24.259180668036","-3.05373637306357","5.46851988761174e-05","0.000160997670856605","4.28859828924187e-10","1027.46399999996","2134.96399999999","3","0","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"80","80","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","78","77.4433683284357","22.7102","36.7998","214.192","0.4426","NaN","NaN","NaN","0","25.3869509306973","-2.13973800310884","0.000388539817213231","0.000400801734296463","3.04704489886441e-09","1027.46399999996","2134.96399999999","3","NaN","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"100","100","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","98","97.2959296518617","20.873","36.7424","205.336","0.4308","NaN","NaN","NaN","0","25.8609454285412","13.7550779482751","0.000118264649273464","0.000121175006870737","9.27460870322896e-10","1027.46399999996","2134.96399999999","3","NaN","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"120","120","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","121","120.123937635194","19.9279","36.7158","204.334","0.4141","NaN","NaN","NaN","0","26.0962081010192","18.5609216941029","5.88802860527244e-05","6.61885484636001e-05","4.61750682607535e-10","1027.46399999996","2134.96399999999","3","NaN","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"140","140","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","141","139.972365583297","19.4118","36.6576","209.605","0.4085","NaN","NaN","NaN","0","26.1885450211738","15.4849083076153","3.79116804646911e-05","4.59325852517454e-05","2.97308902062506e-10","1027.46399999996","2134.96399999999","3","NaN","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
"160","160","1","1","1988.8031079235","19881020","1988","10","10001","2230","31.783","64.116","161","159.818872879726","19.0397","36.6263","207.908","0.407","NaN","NaN","NaN","0","26.2620204556253","18.7743954451577","3.96969947818389e-05","3.77435287705952e-05","3.11307497963879e-10","1027.46399999996","2134.96399999999","3","NaN","63.5454497159455","31.775191564822","55.6033474196759","61.5599530230669","31.775191564822","65.5309271566576","7.94426066485565","65.5309271566576","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","no TOC/TN","NA"
